epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,303.056,0.75925,2.82271,3.38824,1.23962,0.0084,0.97452,0.20732,0.15273,0.00809,0.94348,0.19091,0.14737,0.55415,1.59802,3.99948,1.20412,0.00015,0.00015,0.00015
2,589.728,0.62262,1.4813,2.77768,1.16703,0.00534,0.96639,0.26957,0.19197,0.0052,0.94508,0.25861,0.19631,0.80303,1.75965,3.82978,1.43963,0.000303862,0.000303862,0.000303862
3,901.426,0.70272,1.39998,2.36631,1.21887,0.46431,0.09236,0.27205,0.16797,0.46431,0.09236,0.26068,0.17312,0.97406,2.12284,3.66299,1.57856,0.000451388,0.000451388,0.000451388
4,1272.07,0.65477,1.24273,2.14342,1.16398,0.40352,0.37136,0.36761,0.25507,0.3898,0.35589,0.34177,0.23197,0.94632,2.05316,3.23962,1.72086,0.000592578,0.000592578,0.000592578
5,1606.58,0.68217,1.26242,2.12519,1.18322,0.36177,0.44864,0.35867,0.25626,0.33719,0.43736,0.33902,0.25596,0.90467,1.7342,3.12513,1.60887,0.000727432,0.000727432,0.000727432
6,1940.44,0.72347,1.35061,2.07021,1.21687,0.38357,0.45662,0.39931,0.2547,0.34438,0.45544,0.38749,0.26101,1.03746,1.91843,3.07561,1.68661,0.00085595,0.00085595,0.00085595
7,2218.08,0.89855,1.58667,2.28363,1.40102,0.38283,0.39066,0.29254,0.18846,0.34607,0.38993,0.27601,0.18999,1.29003,2.34305,3.3668,2.01594,0.0008812,0.0008812,0.0008812
8,2440.98,0.81214,1.34547,2.25898,1.30079,0.44725,0.51256,0.45219,0.30484,0.44966,0.50732,0.44072,0.31514,1.04491,2.02558,3.08856,1.86815,0.0008614,0.0008614,0.0008614
9,2659.03,0.84723,1.49391,2.11032,1.26948,0.36145,0.5074,0.40021,0.29775,0.35979,0.50631,0.39331,0.30402,0.88429,2.06544,3.15494,1.63431,0.0008416,0.0008416,0.0008416
10,2878.1,0.73016,1.17735,1.93603,1.24577,0.49066,0.47128,0.46808,0.33115,0.48847,0.47405,0.45726,0.3514,0.92437,1.94452,2.87598,1.72716,0.0008218,0.0008218,0.0008218
11,3097.66,0.67711,1.19513,1.7253,1.15923,0.50886,0.48799,0.47838,0.29575,0.48442,0.49199,0.47027,0.33501,1.07594,2.35941,3.05892,2.03603,0.000802,0.000802,0.000802
12,3318.65,0.66805,1.23677,1.6568,1.18472,0.4597,0.55842,0.52278,0.35919,0.45451,0.55029,0.509,0.36629,0.99193,1.70011,3.07251,1.61214,0.0007822,0.0007822,0.0007822
13,3533.14,0.65443,1.11429,1.58568,1.16731,0.47243,0.50977,0.50546,0.3238,0.47804,0.48022,0.47877,0.32518,1.06734,1.82963,2.81324,1.76293,0.0007624,0.0007624,0.0007624
14,3749.03,0.66099,1.10919,1.56618,1.17235,0.41645,0.45148,0.42676,0.26688,0.40731,0.43533,0.40261,0.24581,1.10956,2.45596,2.80833,1.79401,0.0007426,0.0007426,0.0007426
15,3962.61,0.65256,1.13517,1.62342,1.1473,0.55474,0.5246,0.50939,0.34734,0.54713,0.52025,0.49205,0.34027,0.99729,2.25854,2.58884,1.61073,0.0007228,0.0007228,0.0007228
16,4192.38,0.64648,1.20221,1.47555,1.16173,0.62393,0.56669,0.56616,0.39575,0.61856,0.54714,0.55361,0.38575,0.90116,1.94049,2.30857,1.57355,0.000703,0.000703,0.000703
17,4411.38,0.55225,0.95428,1.3695,1.07558,0.62649,0.48754,0.54949,0.40527,0.60206,0.48457,0.53521,0.38141,0.8489,1.7776,2.29369,1.45849,0.0006832,0.0006832,0.0006832
18,4630.84,0.58334,0.96871,1.4709,1.0887,0.64376,0.47851,0.56827,0.41879,0.60304,0.50647,0.5562,0.42894,0.85847,1.52015,2.21807,1.52264,0.0006634,0.0006634,0.0006634
19,4846.06,0.59645,0.97097,1.4191,1.11582,0.59558,0.50885,0.60024,0.42695,0.54593,0.54211,0.58618,0.44866,0.92652,1.712,2.22303,1.61635,0.0006436,0.0006436,0.0006436
20,5061.83,0.59595,1.01058,1.31419,1.13347,0.62357,0.60329,0.62705,0.44201,0.6093,0.58354,0.59769,0.42457,0.97196,2.17761,2.18955,1.60964,0.0006238,0.0006238,0.0006238
21,5275.97,0.62079,1.1599,1.42285,1.13789,0.49618,0.60054,0.50038,0.37029,0.48498,0.58785,0.48876,0.37474,0.95734,1.77125,2.38191,1.58307,0.000604,0.000604,0.000604
22,5491.34,0.61465,1.13369,1.44314,1.16542,0.48953,0.53091,0.54464,0.40164,0.48614,0.53257,0.53271,0.40608,0.81614,1.70301,2.39524,1.46611,0.0005842,0.0005842,0.0005842
23,5707.22,0.5493,0.95251,1.22492,1.10995,0.58816,0.62536,0.62824,0.4704,0.57912,0.61932,0.60557,0.47773,0.80241,1.50772,2.11838,1.43633,0.0005644,0.0005644,0.0005644
24,5923.23,0.56503,1.07428,1.19423,1.10787,0.59808,0.6121,0.61417,0.44751,0.58149,0.5891,0.5754,0.4448,0.82249,1.92409,2.18777,1.48567,0.0005446,0.0005446,0.0005446
25,6137.9,0.57854,0.99319,1.313,1.08731,0.55343,0.57131,0.57322,0.42053,0.53409,0.55399,0.54502,0.40114,0.8124,1.93456,2.16659,1.43509,0.0005248,0.0005248,0.0005248
26,6353.8,0.56586,1.08945,1.20919,1.09095,0.52764,0.55777,0.54322,0.40586,0.51388,0.54352,0.51319,0.38808,0.78452,1.67677,2.11778,1.38468,0.000505,0.000505,0.000505
27,6570.03,0.53117,0.98518,1.23852,1.07503,0.61856,0.58978,0.62248,0.48361,0.61361,0.58501,0.6124,0.47808,0.73623,1.46633,1.98148,1.35393,0.0004852,0.0004852,0.0004852
28,6788.52,0.51636,0.93532,1.14355,1.04834,0.60266,0.58601,0.59789,0.46073,0.58412,0.55266,0.57184,0.41916,0.79834,1.89007,2.09364,1.41846,0.0004654,0.0004654,0.0004654
29,7005.34,0.51127,0.88276,1.27474,1.06877,0.57987,0.64351,0.635,0.50205,0.58279,0.62817,0.62076,0.48696,0.77472,1.57399,1.98738,1.39494,0.0004456,0.0004456,0.0004456
30,7220.41,0.52301,0.85125,1.10754,1.07153,0.70646,0.62906,0.6792,0.5377,0.70423,0.62826,0.6673,0.53934,0.72574,1.45675,1.87226,1.33625,0.0004258,0.0004258,0.0004258
31,7436.02,0.49511,0.91641,1.10175,1.05385,0.66642,0.62915,0.69315,0.55,0.65911,0.62256,0.68045,0.54996,0.72069,1.4722,1.81928,1.33904,0.000406,0.000406,0.000406
32,7653.51,0.53384,0.87758,1.13112,1.0447,0.61711,0.6736,0.69842,0.56627,0.62121,0.67072,0.69848,0.5671,0.71839,1.52064,1.7568,1.36045,0.0003862,0.0003862,0.0003862
33,7868.55,0.51594,0.89506,1.03116,1.04911,0.67272,0.66221,0.68907,0.55868,0.66828,0.6569,0.68215,0.54889,0.71927,1.4905,1.79818,1.35727,0.0003664,0.0003664,0.0003664
34,8082.48,0.46931,0.80009,0.98472,1.03228,0.6881,0.67392,0.70356,0.5539,0.77743,0.6033,0.66725,0.53104,0.77612,1.58049,1.81888,1.41538,0.0003466,0.0003466,0.0003466
35,8297.58,0.42682,0.73849,0.92058,0.99921,0.70315,0.68055,0.71749,0.57502,0.69598,0.66654,0.69438,0.54492,0.72542,1.68845,1.73549,1.37168,0.0003268,0.0003268,0.0003268
36,8513.42,0.4752,0.8689,0.98986,1.02826,0.74031,0.6543,0.72427,0.59288,0.72059,0.65568,0.70511,0.57532,0.70981,1.48527,1.71993,1.33882,0.000307,0.000307,0.000307
37,8730.3,0.59374,1.05535,1.00033,1.16129,0.75105,0.63242,0.73884,0.61605,0.79115,0.6095,0.72834,0.60131,0.67139,1.41728,1.67755,1.29166,0.0002872,0.0002872,0.0002872
38,8943.55,0.41669,0.7173,0.85251,1.00278,0.71961,0.65939,0.72659,0.5964,0.72349,0.66019,0.71711,0.58961,0.70077,1.38598,1.71341,1.32302,0.0002674,0.0002674,0.0002674
39,9158.18,0.51065,0.78012,0.99757,1.07342,0.71924,0.65316,0.72165,0.59728,0.72207,0.65811,0.73068,0.59911,0.68107,1.39283,1.62933,1.30058,0.0002476,0.0002476,0.0002476
40,9372.99,0.43937,0.79159,0.85299,1.01745,0.7333,0.65188,0.72605,0.57993,0.72485,0.64519,0.70605,0.57413,0.7181,1.44289,1.59618,1.34293,0.0002278,0.0002278,0.0002278
41,9587.22,0.63527,1.38771,1.32604,1.30311,0.70225,0.65273,0.66351,0.52337,0.69377,0.6454,0.64343,0.51478,0.73117,1.51859,1.99629,1.35849,0.000208,0.000208,0.000208
42,9798.32,0.59676,1.08967,1.30875,1.51547,0.71359,0.60614,0.66229,0.51712,0.71422,0.60345,0.65483,0.53384,0.77831,1.55043,1.9368,1.44826,0.0001882,0.0001882,0.0001882
43,10010.2,0.36203,0.66376,1.02293,1.04992,0.69606,0.58536,0.67976,0.56166,0.69606,0.58536,0.6656,0.55576,0.67961,1.51883,1.82473,1.30716,0.0001684,0.0001684,0.0001684
44,10221.9,0.37914,0.60166,1.0825,1.0795,0.63155,0.68019,0.69867,0.57654,0.6248,0.67286,0.68444,0.58078,0.66007,1.49976,1.79191,1.27282,0.0001486,0.0001486,0.0001486
45,10438,0.39081,0.67515,1.0132,1.05892,0.66992,0.69858,0.71638,0.60343,0.66121,0.69136,0.70237,0.59984,0.63071,1.48724,1.70435,1.23868,0.0001288,0.0001288,0.0001288
46,10648.9,0.3735,0.75988,0.98627,1.08449,0.7206,0.68624,0.7185,0.59326,0.71277,0.67078,0.69726,0.58649,0.63354,1.48338,1.6506,1.24303,0.000109,0.000109,0.000109
47,10859.9,0.35859,0.52078,0.91165,1.03263,0.77143,0.6568,0.73838,0.612,0.7516,0.64247,0.71435,0.60317,0.62315,1.47354,1.59229,1.24334,8.92e-05,8.92e-05,8.92e-05
48,11070.3,0.37312,0.69679,0.99364,1.06383,0.78312,0.64002,0.74603,0.62505,0.76816,0.62889,0.72753,0.61138,0.62697,1.45119,1.55025,1.24639,6.94e-05,6.94e-05,6.94e-05
49,11283.3,0.36059,0.71471,1.0341,1.04453,0.76887,0.6724,0.74971,0.63009,0.75503,0.661,0.7278,0.61276,0.62523,1.47631,1.54442,1.24863,4.96e-05,4.96e-05,4.96e-05
50,11495.5,0.31333,0.55582,0.82726,1.0442,0.81463,0.65454,0.75426,0.63687,0.80401,0.64774,0.73421,0.61867,0.61259,1.49368,1.52958,1.23419,2.98e-05,2.98e-05,2.98e-05
